num_factura,fecha_venta,producto,vendedor,cliente,cantidad
3821-37547860,2022-05-17,28,53,149,114
3183-71699882,2021-02-25,113,44,2354,102
1166-58724898,2021-12-10,30,1,1700,187
0170-27897574,2022-06-09,47,56,1262,172
7345-96527983,2023-05-10,88,21,1653,59
4214-98107116,2023-04-22,2,26,768,72
5666-09960073,2023-04-18,83,44,2380,22
1229-46846798,2021-02-06,54,26,2492,84
3267-48166682,2021-08-18,52,57,1709,46
6544-85121665,2021-11-22,39,6,2487,40
7154-70161886,2021-05-06,47,4,2177,31
7415-59410598,2023-02-15,41,31,137,197
7213-57083376,2022-11-18,111,5,418,139
2385-69627778,2021-09-09,65,11,2093,10
7443-54775130,2023-01-18,102,9,995,171
8056-40742520,2020-12-29,87,1,1147,34
8452-97049439,2023-06-02,93,56,904,26
5344-88687040,2021-10-14,77,14,2062,170
4229-54239110,2023-04-05,50,46,1375,66
9651-20403803,2021-12-23,114,3,1170,58
3381-00373923,2021-05-23,106,49,2033,165
5452-54236175,2023-08-31,32,9,1576,14
2204-04465461,2021-03-22,43,25,1556,1
0638-07765635,2020-10-08,68,53,1844,193
2715-99232003,2023-08-16,16,50,1060,53
5986-46221156,2021-08-30,97,8,2379,158
0862-65043719,2023-05-25,58,7,1500,48
3887-63255537,2022-12-21,24,53,972,168
0150-87868365,2021-03-09,10,49,1933,107
9228-37493135,2021-03-23,4,63,1888,10
4604-17549411,2022-04-18,58,29,1224,40
0033-18266758,2022-07-31,97,49,244,6
9246-36129198,2022-08-19,45,53,2266,51
1926-98919418,2023-09-04,25,59,1066,157
8824-80750452,2022-08-24,25,30,1650,97
0839-78970335,2022-01-01,5,1,2258,91
1133-85606619,2021-06-07,32,2,1437,94
5267-33421320,2023-07-02,21,8,1564,170
5162-88675576,2021-05-30,60,38,2169,75
2675-71996770,2023-05-04,22,11,857,31
8572-40594770,2021-07-30,79,61,2280,67
2579-09558680,2023-07-13,23,47,471,44
3178-99034138,2023-06-23,78,27,2008,44
5969-08366090,2021-05-22,34,65,1965,51
0234-48213414,2020-11-17,5,17,170,181
8576-46121592,2020-11-02,82,24,1701,129
0993-79809036,2021-06-25,61,17,769,44
7056-67261933,2022-07-11,92,58,1729,167
2292-09307942,2022-10-10,8,37,708,122
2103-50973400,2023-09-06,59,54,827,51
1227-18913954,2022-06-13,96,1,984,96
9133-70942062,2022-01-05,18,47,347,195
2123-77413576,2020-12-21,11,17,1652,50
2243-61865821,2023-01-01,33,51,2293,120
6824-16083002,2020-12-18,106,36,819,182
8855-52984607,2023-03-29,101,39,1391,51
8192-19616146,2022-01-09,101,36,1395,180
7926-39178925,2022-08-30,97,25,1477,33
9627-80830148,2022-03-10,76,47,189,45
2223-75765305,2022-12-10,35,12,1980,65
8962-58378589,2023-05-01,73,38,580,73
8889-61130146,2021-12-22,76,32,2160,87
1079-45512573,2020-12-08,19,56,2312,6
0050-84443617,2020-09-27,35,25,901,60
1779-18384771,2022-03-17,42,31,1453,66
1743-35358477,2023-02-02,103,8,239,147
8786-27520214,2020-11-06,74,53,73,65
0475-57630977,2023-09-09,72,7,1947,18
1067-20899543,2022-01-24,21,62,1042,150
9624-26150387,2023-05-09,70,57,1826,107
2502-84313549,2021-11-13,66,39,1517,32
6195-07432055,2022-04-15,9,14,828,185
3038-57654384,2022-03-17,43,37,2455,68
2950-24823821,2023-05-24,41,53,1375,75
2068-35347697,2021-11-08,89,42,4,19
3326-81989382,2021-10-10,85,3,999,70
9756-86329277,2022-12-29,69,6,1233,116
3207-94997690,2023-02-22,1,63,1412,145
0067-29394340,2023-07-06,88,27,1347,100
6166-22420864,2020-10-25,27,50,398,198
5553-08321465,2023-06-03,10,53,1979,9
5639-12753694,2021-04-30,49,39,2454,147
6775-60363741,2020-09-22,71,15,1833,27
1138-62089881,2023-02-09,67,21,1917,106
3524-94440740,2023-05-09,87,50,520,66
8140-04615429,2022-03-09,40,51,2155,141
6068-79116061,2022-07-27,54,57,1545,133
4869-36704297,2023-03-22,102,14,597,137
7488-69498340,2021-07-14,54,9,140,52
2923-69297716,2023-06-15,105,44,374,25
9438-30120990,2021-07-30,82,4,1753,116
2587-14625195,2021-06-13,82,36,2495,88
7424-17400629,2021-05-11,6,56,2165,23
3514-52064259,2022-12-27,60,19,2277,187
